scorer,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000
bodyparts,Top,Top,Top,Bottom,Bottom,Bottom,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,112.7164077758789,81.43895721435547,0.9999951720237732,92.68391418457031,113.45551300048828,0.9999993443489075,85.36262512207031,87.19328308105469,0.9999997615814209,115.60750579833984,103.92317962646484,0.9999985694885254
1,112.7164077758789,81.80455017089844,0.9999927282333374,92.68391418457031,113.47024536132812,0.9999991059303284,85.36262512207031,87.42435455322266,0.9999995231628418,115.60750579833984,104.3255615234375,0.9999973177909851
2,112.7164077758789,82.36625671386719,0.9999974370002747,93.24612426757812,113.50365447998047,0.9999995231628418,85.36262512207031,87.6457748413086,0.9999998807907104,115.71607208251953,104.41226959228516,0.9999989867210388
3,111.75017547607422,82.52255249023438,0.9999990463256836,92.97284698486328,113.67816925048828,0.9999992847442627,85.04154968261719,87.6690902709961,0.9999997615814209,115.60750579833984,104.43548583984375,0.999998927116394
4,111.49066925048828,82.36625671386719,0.9999977946281433,92.83544921875,113.68997955322266,0.9999995827674866,84.82412719726562,87.6690902709961,0.9999995231628418,115.60750579833984,104.41226959228516,0.9999986290931702
5,111.18347930908203,82.36625671386719,0.9999994039535522,92.83544921875,113.74775695800781,0.9999995827674866,84.7138671875,87.68365478515625,0.9999996423721313,115.71607208251953,104.41226959228516,0.9999992847442627
6,111.18347930908203,81.93185424804688,0.9999996423721313,92.83544921875,113.82504272460938,0.9999998807907104,83.97904968261719,87.87532043457031,0.9999999403953552,116.31940460205078,103.80815887451172,0.9999995231628418
7,111.28150939941406,81.93185424804688,0.9999992251396179,92.47685241699219,113.9566650390625,0.9999997019767761,83.97904968261719,87.68365478515625,0.9999998211860657,116.31940460205078,103.80815887451172,0.9999991059303284
8,110.99075317382812,81.93185424804688,0.9999996423721313,92.47685241699219,113.9566650390625,0.9999998807907104,83.97904968261719,87.48535919189453,0.9999999403953552,116.31940460205078,103.80815887451172,0.9999995231628418
9,111.28150939941406,82.88468170166016,0.9999977946281433,92.47685241699219,113.9566650390625,0.9999997019767761,84.04277801513672,87.48535919189453,0.9999998211860657,115.66777801513672,104.36933898925781,0.9999983906745911
10,112.0071029663086,82.8877182006836,0.9999959468841553,92.52629852294922,113.9566650390625,0.9999995827674866,84.08470153808594,87.2991943359375,0.9999998807907104,115.65547943115234,104.54985809326172,0.9999979734420776
11,112.39339447021484,82.8877182006836,0.999994158744812,92.52629852294922,113.85150146484375,0.9999995827674866,84.3635025024414,87.29180908203125,0.9999997615814209,115.65547943115234,104.5696029663086,0.9999973773956299
12,112.50366973876953,82.88468170166016,0.9999943971633911,92.52629852294922,113.82898712158203,0.9999996423721313,84.55741882324219,87.1165542602539,0.9999995827674866,115.6150894165039,104.881591796875,0.9999978542327881
13,112.5184555053711,82.50135803222656,0.9999972581863403,92.29169464111328,113.82898712158203,0.9999997615814209,84.60313415527344,86.92194366455078,0.9999997615814209,115.6150894165039,104.90560913085938,0.9999988079071045
14,112.61929321289062,82.23125457763672,0.9999991655349731,91.8881607055664,113.5588150024414,0.9999997019767761,84.60313415527344,86.74921417236328,1.0,115.38933563232422,105.6494369506836,0.9999996423721313
15,112.61929321289062,81.81765747070312,0.9999991059303284,91.8881607055664,113.5588150024414,0.9999994039535522,84.60313415527344,86.74921417236328,1.0,115.38933563232422,105.6494369506836,0.9999992847442627
16,112.50366973876953,81.45236206054688,0.9999994039535522,91.84497833251953,113.5588150024414,0.9999996423721313,84.10527801513672,86.74921417236328,1.0,115.27685546875,105.809814453125,0.9999995231628418
17,112.39544677734375,81.40643310546875,0.9999991655349731,91.13986206054688,113.5588150024414,0.9999996423721313,83.89640045166016,86.74921417236328,0.9999999403953552,115.06890869140625,106.1737289428711,0.9999991655349731
18,112.39544677734375,81.04471588134766,0.9999997019767761,91.13986206054688,113.68453216552734,0.9999997019767761,83.86272430419922,86.74921417236328,1.0,115.06890869140625,106.1737289428711,0.9999997019767761
19,112.39544677734375,80.77774810791016,0.9999993443489075,91.12586212158203,113.8505859375,0.999999463558197,83.86048889160156,86.18797302246094,1.0,115.44994354248047,106.1737289428711,0.9999995231628418
20,112.7467041015625,80.68590545654297,0.9999985694885254,90.62689971923828,113.88682556152344,0.9999997615814209,83.86272430419922,86.17876434326172,1.0,115.44994354248047,106.28999328613281,0.999998927116394
21,112.77977752685547,80.5675048828125,0.9999991655349731,90.62689971923828,114.00464630126953,0.9999996423721313,83.86272430419922,86.17876434326172,1.0,115.95268249511719,106.50542449951172,0.9999995827674866
22,113.12548065185547,80.53204345703125,0.9999991655349731,90.95510864257812,114.00464630126953,0.9999997615814209,83.99390411376953,86.17876434326172,1.0,116.04950714111328,106.56668853759766,0.9999997615814209
